sensor_model,measure_unit,device,location,data_type,data,created_at
Shelly EM,kWh,Disjuntor Geral 9073,Quadro de Energia,Consumo de Energia,0.97399,2025-04-08 19:18:28.327148
Shelly EM,kWh,Disjuntor Geral 8094,Quadro de Energia,Consumo de Energia,1.05007,2025-04-08 19:48:28.327148
Shelly EM,kWh,Disjuntor Geral 0032,Quadro de Energia,Consumo de Energia,0.97056,2025-04-08 20:18:28.327148
Shelly EM,kWh,Disjuntor Geral 8230,Quadro de Energia,Consumo de Energia,1.07778,2025-04-08 20:48:28.327148
Shelly EM,kWh,Disjuntor Geral 2458,Quadro de Energia,Consumo de Energia,1.03467,2025-04-08 21:18:28.327148
Shelly EM,kWh,Disjuntor Geral 6288,Quadro de Energia,Consumo de Energia,0.94694,2025-04-08 21:48:28.327148
Shelly EM,kWh,Disjuntor Geral 1308,Quadro de Energia,Consumo de Energia,0.99581,2025-04-08 22:18:28.327148
Shelly EM,kWh,Disjuntor Geral 1475,Quadro de Energia,Consumo de Energia,0.8761,2025-04-08 22:48:28.327148
Shelly EM,kWh,Disjuntor Geral 6231,Quadro de Energia,Consumo de Energia,0.97404,2025-04-08 23:18:28.327148
Shelly EM,kWh,Disjuntor Geral 7101,Quadro de Energia,Consumo de Energia,0.99098,2025-04-08 23:48:28.327148
Shelly EM,kWh,Disjuntor Geral 9222,Quadro de Energia,Consumo de Energia,1.08529,2025-04-09 00:18:28.327148
Shelly EM,kWh,Disjuntor Geral 8043,Quadro de Energia,Consumo de Energia,1.02869,2025-04-09 00:48:28.327148
Shelly EM,kWh,Disjuntor Geral 2970,Quadro de Energia,Consumo de Energia,1.00842,2025-04-09 01:18:28.327148
Shelly EM,kWh,Disjuntor Geral 6192,Quadro de Energia,Consumo de Energia,0.99494,2025-04-09 01:48:28.327148
Shelly EM,kWh,Disjuntor Geral 2759,Quadro de Energia,Consumo de Energia,1.01498,2025-04-09 02:18:28.327148
Shelly EM,kWh,Disjuntor Geral 0101,Quadro de Energia,Consumo de Energia,0.94735,2025-04-09 02:48:28.327148
Shelly EM,kWh,Disjuntor Geral 8361,Quadro de Energia,Consumo de Energia,1.04352,2025-04-09 03:18:28.327148
Shelly EM,kWh,Disjuntor Geral 4176,Quadro de Energia,Consumo de Energia,0.9982,2025-04-09 03:48:28.327148
Shelly EM,kWh,Disjuntor Geral 3485,Quadro de Energia,Consumo de Energia,1.06206,2025-04-09 04:18:28.327148
Shelly EM,kWh,Disjuntor Geral 3320,Quadro de Energia,Consumo de Energia,1.08307,2025-04-09 04:48:28.327148
Shelly EM,kWh,Disjuntor Geral 9599,Quadro de Energia,Consumo de Energia,1.05543,2025-04-09 05:18:28.327148
